drug_name,protein_target,inference_score
Melatonin,ACHE,64.44
Melatonin,APP,64.44
Melatonin,ARC,64.44
Melatonin,ATP5F1A,64.44
Melatonin,BACE1,64.44
Melatonin,BAX,64.44
Melatonin,BCL2,64.44
Melatonin,BDNF,64.44
Melatonin,CALM1,64.44
Melatonin,CASP3,64.44
Melatonin,EIF2S1,64.44
Melatonin,ESR1,64.44
Melatonin,GSK3B,64.44
Melatonin,HMOX1,64.44
Melatonin,IGF1,64.44
Melatonin,IL1B,64.44
Melatonin,INS,64.44
Melatonin,INSR,64.44
Melatonin,LEP,64.44
Melatonin,MAPT,64.44
Melatonin,MPO,64.44
Melatonin,NOS3,64.44
Melatonin,PPARG,64.44
Melatonin,PRNP,64.44
Melatonin,PSEN1,64.44
Melatonin,SLC2A4,64.44
Melatonin,SOD2,64.44
Melatonin,TF,64.44
Melatonin,TFAM,64.44
Melatonin,TNF,64.44
Melatonin,VEGFA,64.44
Nicotine,ACE,57.53
Nicotine,ACHE,57.53
Nicotine,APOE,57.53
Nicotine,APP,57.53
Nicotine,ARC,57.53
Nicotine,ATP5F1A,57.53
Nicotine,BAX,57.53
Nicotine,BCL2,57.53
Nicotine,BDNF,57.53
Nicotine,CALM1,57.53
Nicotine,CASP3,57.53
Nicotine,CHRNA7,57.53
Nicotine,CHRNB2,57.53
Nicotine,CRH,57.53
Nicotine,CST3,57.53
Nicotine,DHCR24,57.53
Nicotine,EIF2S1,57.53
Nicotine,ENO1,57.53
Nicotine,ESR1,57.53
Nicotine,F2,57.53
Nicotine,GSK3B,57.53
Nicotine,HLA-DRB5,57.53
Nicotine,HMOX1,57.53
Nicotine,IGF1,57.53
Nicotine,IGF1R,57.53
Nicotine,IGF2,57.53
Nicotine,IL1B,57.53
Nicotine,INSR,57.53
Nicotine,LEP,57.53
Nicotine,MPO,57.53
Nicotine,NOS3,57.53
Nicotine,NPY,57.53
Nicotine,PLAU,57.53
Nicotine,PPARG,57.53
Nicotine,RELN,57.53
Nicotine,SOD2,57.53
Nicotine,TF,57.53
Nicotine,TNF,57.53
Nicotine,VEGFA,57.53
Curcumin,ACE,54.57
Curcumin,ACHE,54.57
Curcumin,AMFR,54.57
Curcumin,APOE,54.57
Curcumin,APP,54.57
Curcumin,BACE1,54.57
Curcumin,BAX,54.57
Curcumin,BCL2,54.57
Curcumin,BDNF,54.57
Curcumin,CASP3,54.57
Curcumin,CYP2D6,54.57
Curcumin,DHCR24,54.57
Curcumin,ENO1,54.57
Curcumin,ESR1,54.57
Curcumin,F2,54.57
Curcumin,GSK3B,54.57
Curcumin,HMOX1,54.57
Curcumin,IGF1,54.57
Curcumin,IGF1R,54.57
Curcumin,IGF2,54.57
Curcumin,IL1B,54.57
Curcumin,INS,54.57
Curcumin,INSR,54.57
Curcumin,MAPT,54.57
Curcumin,MPO,54.57
Curcumin,NOS3,54.57
Curcumin,PLAU,54.57
Curcumin,PPARG,54.57
Curcumin,RELN,54.57
Curcumin,SOD2,54.57
Curcumin,TF,54.57
Curcumin,TFAM,54.57
Curcumin,TNF,54.57
Curcumin,VEGFA,54.57
Notoginsenoside R1,APOE,50.91
Notoginsenoside R1,APP,50.91
Notoginsenoside R1,BAX,50.91
Notoginsenoside R1,BCL2,50.91
Notoginsenoside R1,CASP3,50.91
Notoginsenoside R1,ESR1,50.91
Notoginsenoside R1,GSK3B,50.91
