drug_name,protein_target,inference_score
Pozanicline,CHRNA4,8.83
Pozanicline,CHRNB2,8.83
Modafinil,COMT,7.2
Modafinil,SLC6A3,7.2
Risperidone,COMT,6.29
Risperidone,DRD2,6.29
Risperidone,DRD4,6.29
Aripiprazole,CNR1,6.12
Aripiprazole,COMT,6.12
Aripiprazole,DRD2,6.12
Citalopram,CNR1,4.43
Citalopram,SLC6A3,4.43
Melatonin,DRD2,3.96
Melatonin,SLC6A3,3.96
Melatonin,TPH2,3.96
Sertraline,TPH2,3.74
Ginsenoside Rg3,SLC6A3,3.6
Pergolide,DRD2,3.6
Thioridazine,DRD2,3.29
Caffeine,AS3MT,3.27
Caffeine,CIC,3.27
Caffeine,COMT,3.27
Caffeine,DRD2,3.27
Caffeine,FGD1,3.27
Caffeine,GIT1,3.27
Caffeine,GRM1,3.27
Caffeine,SLC6A3,3.27
Caffeine,TPH2,3.27
Clonidine,COMT,3.26
Imipramine,CNR1,3.09
Venlafaxine,CNR1,3.05
Chlorpromazine,DRD2,3.03
Chlorpromazine,STS,3.03
Carbamazepine,CHRNA4,2.18
Carbamazepine,CHRNB2,2.18
Carbamazepine,DRD2,2.18
Carbamazepine,SLC6A3,2.18
