drug_name,protein_target,inference_score
Trehalose,GFAP,27.15
Trehalose,GSR,27.15
Trehalose,NFE2L2,27.15
Trehalose,PPARGC1A,27.15
Trehalose,SOD1,27.15
Trehalose,SOD2,27.15
Trehalose,SQSTM1,27.15
Lipoic acid,GFAP,26.47
Lipoic acid,GSR,26.47
Lipoic acid,GSTP1,26.47
Lipoic acid,MFN2,26.47
Lipoic acid,NFE2L2,26.47
Lipoic acid,PPARGC1A,26.47
Lipoic acid,PPARGC1B,26.47
Lipoic acid,PTGS2,26.47
Lipoic acid,SOD1,26.47
Lipoic acid,SOD2,26.47
Lipoic acid,TP53,26.47
Tocopherol,BCL2L1,25.47
Tocopherol,CLU,25.47
Tocopherol,CREBBP,25.47
Tocopherol,CST3,25.47
Tocopherol,FOS,25.47
Tocopherol,GDI1,25.47
Tocopherol,GFAP,25.47
Tocopherol,MT1,25.47
Tocopherol,PDGFA,25.47
Tocopherol,PON1,25.47
Tocopherol,SERPINA3N,25.47
Tocopherol,SOD1,25.47
Tocopherol,TNF,25.47
Tocopherol,XIAP,25.47
Melatonin,GFAP,25.33
Melatonin,GSR,25.33
Melatonin,GSTP1,25.33
Melatonin,MFN1,25.33
Melatonin,MFN2,25.33
Melatonin,NFE2L2,25.33
Melatonin,NRF1,25.33
Melatonin,PPARGC1A,25.33
Melatonin,PTGS2,25.33
Melatonin,SOD1,25.33
Melatonin,SOD2,25.33
Melatonin,SQSTM1,25.33
Melatonin,TP53,25.33
Melatonin,UBB,25.33
Resveratrol,ACTL6B,20.91
Resveratrol,C9ORF72,20.91
Resveratrol,CD40LG,20.91
Resveratrol,CFAP410,20.91
Resveratrol,DBR1,20.91
Resveratrol,DPP6,20.91
Resveratrol,ERBB4,20.91
Resveratrol,ERCC6L2,20.91
Resveratrol,ESRRA,20.91
Resveratrol,GFAP,20.91
Resveratrol,GSR,20.91
Resveratrol,GSTP1,20.91
Resveratrol,MFN1,20.91
Resveratrol,MFN2,20.91
Resveratrol,NEK1,20.91
Resveratrol,NFE2L2,20.91
Resveratrol,NRF1,20.91
Resveratrol,OPTN,20.91
Resveratrol,PLA2G4A,20.91
Resveratrol,PON1,20.91
Resveratrol,PPARGC1A,20.91
Resveratrol,PPARGC1B,20.91
Resveratrol,PTGS2,20.91
Resveratrol,SIGMAR1,20.91
Resveratrol,SLC1A2,20.91
Resveratrol,SLC6A1,20.91
Resveratrol,SMARCA4,20.91
Resveratrol,SOD1,20.91
Resveratrol,SOD2,20.91
Resveratrol,SQSTM1,20.91
Resveratrol,TNFRSF21,20.91
Resveratrol,TP53,20.91
Resveratrol,TUBA4A,20.91
Resveratrol,UBB,20.91
Edaravone,NFE2L2,12.67
Edaravone,PON1,12.67
Edaravone,PPARGC1A,12.67
Edaravone,SOD1,12.67
Edaravone,SOD2,12.67
Aspirin,CD40LG,11.61
Aspirin,GFAP,11.61
Aspirin,NRF1,11.61
Aspirin,PLA2G4A,11.61
Aspirin,PON1,11.61
Aspirin,PPARGC1A,11.61
Aspirin,PTGS2,11.61
Aspirin,SOD1,11.61
Aspirin,SOD2,11.61
Aspirin,TP53,11.61
Levodopa,ATXN2,9.99
Levodopa,NFE2L2,9.99
Levodopa,SLC1A2,9.99
Levodopa,SOD1,9.99
Levodopa,SOD2,9.99
Lithium,GFAP,9.19
Lithium,GSTP1,9.19
Lithium,NFE2L2,9.19
Lithium,PLA2G4A,9.19
Lithium,SOD1,9.19
Lithium,SOD2,9.19
Lithium,TP53,9.19
Dronabinol,ERBB4,8.42
Dronabinol,GFAP,8.42
Dronabinol,GSR,8.42
Dronabinol,GSTP1,8.42
Dronabinol,MOBP,8.42
Dronabinol,NRF1,8.42
Dronabinol,OPTN,8.42
Dronabinol,PON1,8.42
Dronabinol,PPARGC1A,8.42
Dronabinol,PTGS2,8.42
Dronabinol,SLC1A2,8.42
Dronabinol,SLC6A1,8.42
Dronabinol,SOD1,8.42
Dronabinol,SOD2,8.42
Dronabinol,SQSTM1,8.42
Dronabinol,TARDBP,8.42
Dronabinol,TP53,8.42
Dronabinol,UNC13A,8.42
Riluzole,NEFH,7.38
Riluzole,TNF,7.38
Minocycline,GFAP,6.7
Minocycline,PTGS2,6.7
Minocycline,SOD2,6.7
Minocycline,TP53,6.7
Thalidomide,NFE2L2,4.81
Thalidomide,PTGS2,4.81
Thalidomide,SOD1,4.81
Thalidomide,TP53,4.81
PRE-084,SIGMAR1,4.74
Promethazine,SQSTM1,4.7
Promethazine,TP53,4.7
Bromocriptine,NFE2L2,4.13
Bromocriptine,SOD1,4.13
Unithiol,NFE2L2,3.34
Gabapentin,PON1,3.33
Lenalidomide,SOD1,3.06
Kenpaullone,PTGS2,2.87
