drug_name,protein_target,inference_score
Haloperidol,BDNF,14.72
Haloperidol,DRD1,14.72
Haloperidol,FADS2,14.72
Haloperidol,GAD1,14.72
Haloperidol,GAD2,14.72
Haloperidol,GRIK2,14.72
Haloperidol,GRIN2A,14.72
Haloperidol,GSK3A,14.72
Haloperidol,GSK3B,14.72
Haloperidol,HTR2A,14.72
Haloperidol,INS,14.72
Haloperidol,NCAN,14.72
Haloperidol,PVALB,14.72
Haloperidol,RELN,14.72
Haloperidol,RIMS1,14.72
Haloperidol,SERPINA1,14.72
Haloperidol,SLC6A4,14.72
Haloperidol,SNAP25,14.72
Haloperidol,TAC1,14.72
Reserpine,BDNF,14.59
Reserpine,DRD1,14.59
Reserpine,GAD1,14.59
Reserpine,NR3C1,14.59
Reserpine,NTRK2,14.59
Reserpine,POMC,14.59
Reserpine,SLC6A4,14.59
Reserpine,TAC1,14.59
Lithium,BDNF,11.51
Lithium,GSK3A,11.51
Lithium,GSK3B,11.51
Lithium,HTR2A,11.51
Lithium,INS,11.51
Lithium,NR3C1,11.51
Lithium,PDE4B,11.51
Lithium,SHANK2,11.51
Lithium,SLC5A3,11.51
Lithium,SLC6A4,11.51
Diazepam,AKR1C4,8.53
Diazepam,BDNF,8.53
Diazepam,GAD1,8.53
Diazepam,GAD2,8.53
Diazepam,GRIN2A,8.53
Diazepam,TAC1,8.53
Fluphenazine,DRD1,7.22
Fluphenazine,HTR2A,7.22
Fluphenazine,TAC1,7.22
Quetiapine,BDNF,6.1
Quetiapine,HTR2A,6.1
Quetiapine,NDUFV2,6.1
Cannabidiol,BDNF,6.06
Cannabidiol,CD47,6.06
Cannabidiol,GAD1,6.06
Cannabidiol,GRIK2,6.06
Cannabidiol,GSK3A,6.06
Cannabidiol,GSK3B,6.06
Cannabidiol,ITIH1,6.06
Cannabidiol,NTRK1,6.06
Cannabidiol,NTRK2,6.06
Cannabidiol,POMC,6.06
Cannabidiol,PVALB,6.06
Cannabidiol,SCN2A,6.06
Cannabidiol,SERPINA1,6.06
Cannabidiol,SLC6A4,6.06
Cannabidiol,SNAP25,6.06
Cannabidiol,TAC1,6.06
Sulpiride,GAD1,5.85
Sulpiride,INS,5.85
Sulpiride,RELN,5.85
Gabapentin,CACNA1D,5.41
Gabapentin,SHANK2,5.41
Gabapentin,SLC6A4,5.41
Gabapentin,TAC1,5.41
N-Acetylcysteine,BDNF,5.34
N-Acetylcysteine,CPLX1,5.34
N-Acetylcysteine,FADS2,5.34
N-Acetylcysteine,GSK3B,5.34
N-Acetylcysteine,INS,5.34
N-Acetylcysteine,NR3C1,5.34
N-Acetylcysteine,NTRK1,5.34
N-Acetylcysteine,NTRK2,5.34
N-Acetylcysteine,POMC,5.34
N-Acetylcysteine,TSHB,5.34
Aripiprazole,COMT,5.25
Aripiprazole,HTR2A,5.25
Aripiprazole,S100B,5.25
Aripiprazole,SLC6A4,5.25
Topiramate,BDNF,5.0
Topiramate,GSK3B,5.0
Topiramate,PDE4B,5.0
Verapamil,CACNA1C,4.79
Verapamil,DRD1,4.79
Verapamil,NR3C1,4.79
Verapamil,TSHB,4.79
Tranylcypromine,BDNF,4.74
Tranylcypromine,NTRK2,4.74
Nimodipine,BDNF,4.49
Nimodipine,CACNA1C,4.49
Fluvoxamine,GAD1,4.38
Fluvoxamine,HTR2A,4.38
Atenolol,CACNA1C,4.05
Atenolol,INS,4.05
Reboxetine,NTRK2,3.92
Oxcarbazepine,AKR1C4,3.7
Zonisamide,DRD1,3.63
Allopurinol,GRIN2A,3.51
Allopurinol,SLC5A3,3.51
Modafinil,COMT,3.49
Perphenazine,DRD1,3.41
Folic Acid,ADCY2,3.28
Folic Acid,ADD3,3.28
Folic Acid,ANK3,3.28
Folic Acid,BDNF,3.28
Folic Acid,BHLHE40,3.28
Folic Acid,CACNA1D,3.28
Folic Acid,CD47,3.28
Folic Acid,CPLX2,3.28
Folic Acid,FADS2,3.28
Folic Acid,GAD1,3.28
Folic Acid,GAD2,3.28
Folic Acid,GRIN2A,3.28
Folic Acid,GSK3A,3.28
Folic Acid,GSK3B,3.28
Folic Acid,HDAC5,3.28
Folic Acid,INS,3.28
Folic Acid,MRPS33,3.28
Folic Acid,MTHFR,3.28
Folic Acid,NDUFV2,3.28
Folic Acid,NR3C1,3.28
Folic Acid,NTNG1,3.28
Folic Acid,NTRK1,3.28
Folic Acid,NTRK2,3.28
Folic Acid,PDE4B,3.28
Folic Acid,POU3F2,3.28
Folic Acid,RIMS1,3.28
Folic Acid,S100B,3.28
Folic Acid,SERPINA1,3.28
Folic Acid,SLC5A3,3.28
Folic Acid,SLC6A4,3.28
Folic Acid,SSBP2,3.28
Folic Acid,STARD9,3.28
Folic Acid,STK4,3.28
Folic Acid,TAC1,3.28
Folic Acid,TACR1,3.28
Folic Acid,TENM4,3.28
Folic Acid,THSD7A,3.28
Folic Acid,TRANK1,3.28
Benztropine,PC,3.21
Trifluoperazine,NR3C1,2.96
Mianserin,COMT,2.39
Mianserin,HTR2A,2.39
Mianserin,TAC1,2.39
