drug_name,protein_target,inference_score
4-Phenylbutyric Acid,DNM1L,43.59
4-Phenylbutyric Acid,GSTA4,43.59
4-Phenylbutyric Acid,HGF,43.59
4-Phenylbutyric Acid,HMOX1,43.59
4-Phenylbutyric Acid,HSPA1A,43.59
4-Phenylbutyric Acid,HSPA9,43.59
4-Phenylbutyric Acid,IL6,43.59
4-Phenylbutyric Acid,INS,43.59
4-Phenylbutyric Acid,MAP3K5,43.59
4-Phenylbutyric Acid,NQO1,43.59
4-Phenylbutyric Acid,PARK7,43.59
4-Phenylbutyric Acid,PINK1,43.59
4-Phenylbutyric Acid,PPARGC1A,43.59
4-Phenylbutyric Acid,PRKN,43.59
4-Phenylbutyric Acid,SLC38A2,43.59
4-Phenylbutyric Acid,SNCA,43.59
4-Phenylbutyric Acid,SOD1,43.59
4-Phenylbutyric Acid,SOD2,43.59
4-Phenylbutyric Acid,TH,43.59
4-Phenylbutyric Acid,TNF,43.59
Sirolimus,ABCB1,34.02
Sirolimus,BDNF,34.02
Sirolimus,CP,34.02
Sirolimus,CYP2E1,34.02
Sirolimus,DNM1L,34.02
Sirolimus,EDN1,34.02
Sirolimus,ENO2,34.02
Sirolimus,FGB,34.02
Sirolimus,HMOX1,34.02
Sirolimus,IGF1R,34.02
Sirolimus,IGF2,34.02
Sirolimus,IL6,34.02
Sirolimus,INS,34.02
Sirolimus,MAP2,34.02
Sirolimus,MAPT,34.02
Sirolimus,NQO1,34.02
Sirolimus,PINK1,34.02
Sirolimus,PPARGC1A,34.02
Sirolimus,PRKN,34.02
Sirolimus,SNCA,34.02
Sirolimus,SOD1,34.02
Sirolimus,SOD2,34.02
Sirolimus,TNF,34.02
Levodopa,DDC,28.88
Levodopa,DRD1,28.88
Levodopa,DRD2,28.88
Levodopa,HMOX1,28.88
Levodopa,MAP3K5,28.88
Levodopa,NGF,28.88
Levodopa,PARK7,28.88
Levodopa,PINK1,28.88
Levodopa,PRKN,28.88
Levodopa,SLC6A3,28.88
Levodopa,SNCA,28.88
Levodopa,SOD1,28.88
Levodopa,SOD2,28.88
Levodopa,TH,28.88
Mangiferin,ABCB1,27.35
Mangiferin,CYP2D6,27.35
Mangiferin,CYP2E1,27.35
Mangiferin,DNM1L,27.35
Mangiferin,FBP1,27.35
Mangiferin,HMOX1,27.35
Mangiferin,IL6,27.35
Mangiferin,INS,27.35
Mangiferin,NGF,27.35
Mangiferin,NQO1,27.35
Mangiferin,PPARGC1A,27.35
Mangiferin,SOD1,27.35
Mangiferin,TNF,27.35
Clozapine,ABCB1,26.97
Clozapine,BDNF,26.97
Clozapine,CYP2D6,26.97
Clozapine,DDC,26.97
Clozapine,DRD1,26.97
Clozapine,DRD2,26.97
Clozapine,GFAP,26.97
Clozapine,GSTM1,26.97
Clozapine,GSTP1,26.97
Clozapine,HMOX1,26.97
Clozapine,HSPA9,26.97
Clozapine,INS,26.97
Clozapine,LRRK2,26.97
Clozapine,MAOB,26.97
Clozapine,MTHFR,26.97
Clozapine,NECTIN2,26.97
Clozapine,PARK7,26.97
Clozapine,SLC18A2,26.97
Clozapine,SLC6A3,26.97
Clozapine,SOD1,26.97
Clozapine,SOD2,26.97
Clozapine,TH,26.97
Clozapine,TNF,26.97
Propranolol,ABCB1,24.32
Propranolol,CYP2D6,24.32
Propranolol,GFAP,24.32
Propranolol,HMOX1,24.32
Propranolol,IL6,24.32
Propranolol,INS,24.32
Propranolol,LRRK2,24.32
Propranolol,NGF,24.32
Propranolol,PARK7,24.32
Propranolol,PINK1,24.32
Propranolol,PPARGC1A,24.32
Propranolol,SLC18A2,24.32
Propranolol,SOD1,24.32
Propranolol,TNF,24.32
Eicosapentaenoic Acid,CYP2E1,22.86
Eicosapentaenoic Acid,GSTP1,22.86
Eicosapentaenoic Acid,HMOX1,22.86
Eicosapentaenoic Acid,IL6,22.86
Eicosapentaenoic Acid,NGF,22.86
Eicosapentaenoic Acid,NQO1,22.86
Eicosapentaenoic Acid,PPARGC1A,22.86
Eicosapentaenoic Acid,SOD1,22.86
Eicosapentaenoic Acid,TNF,22.86
Eicosapentaenoic Acid,TRPM2,22.86
Selegiline,HMOX1,22.8
Selegiline,MAOA,22.8
Selegiline,MAOB,22.8
Selegiline,NQO1,22.8
Selegiline,PRKN,22.8
Selegiline,SNCA,22.8
Selegiline,SOD2,22.8
Selegiline,TH,22.8
Eugenol,BDNF,20.87
Eugenol,CYP2D6,20.87
Eugenol,CYP2E1,20.87
Eugenol,DRD1,20.87
Eugenol,GSTM1,20.87
Eugenol,GSTP1,20.87
Eugenol,HMOX1,20.87
Eugenol,IL6,20.87
Eugenol,MAOA,20.87
Eugenol,MAP3K5,20.87
Eugenol,NQO1,20.87
Eugenol,RPL6,20.87
Eugenol,SOD1,20.87
Eugenol,SOD2,20.87
Eugenol,TNF,20.87
Aspirin,ABCB1,20.44
Aspirin,BDNF,20.44
Aspirin,CYP2E1,20.44
Aspirin,FGB,20.44
Aspirin,GDNF,20.44
Aspirin,GFAP,20.44
Aspirin,GSTM1,20.44
Aspirin,HGF,20.44
Aspirin,HMOX1,20.44
Aspirin,HSPA1A,20.44
Aspirin,IGF2,20.44
Aspirin,IGF2R,20.44
Aspirin,IL6,20.44
Aspirin,MTA1,20.44
Aspirin,NQO1,20.44
Aspirin,PPARGC1A,20.44
Aspirin,SNCA,20.44
Aspirin,SOD1,20.44
Aspirin,SOD2,20.44
Aspirin,TNF,20.44
Roflumilast,BDNF,19.48
Roflumilast,HMOX1,19.48
Roflumilast,IL6,19.48
Roflumilast,NGF,19.48
Roflumilast,NQO1,19.48
Roflumilast,SNCA,19.48
Roflumilast,TNF,19.48
Bromocriptine,ABCB1,17.75
Bromocriptine,BDNF,17.75
Bromocriptine,DRD2,17.75
Bromocriptine,GDNF,17.75
Bromocriptine,HMOX1,17.75
Bromocriptine,INS,17.75
Bromocriptine,NGF,17.75
Bromocriptine,SOD1,17.75
Bromocriptine,TNF,17.75
Pioglitazone,ABCB1,17.59
Pioglitazone,BDNF,17.59
Pioglitazone,CYP2E1,17.59
Pioglitazone,DDIT4,17.59
Pioglitazone,DRD1,17.59
Pioglitazone,EDN1,17.59
Pioglitazone,GSTP1,17.59
Pioglitazone,HMOX1,17.59
Pioglitazone,IL6,17.59
Pioglitazone,INS,17.59
Pioglitazone,MAOB,17.59
Pioglitazone,NQO1,17.59
Pioglitazone,PPARGC1A,17.59
Pioglitazone,SLC2A14,17.59
Pioglitazone,SOD1,17.59
Pioglitazone,SOD2,17.59
Pioglitazone,TNF,17.59
Nardosinone,SLC38A2,17.31
Nardosinone,SNCA,17.31
Nardosinone,TH,17.31
Nardosinone,TNF,17.31
Cabergoline,BDNF,14.98
Cabergoline,DRD1,14.98
Cabergoline,DRD2,14.98
Cabergoline,GDNF,14.98
Cabergoline,NGF,14.98
Carbidopa,DDC,14.06
Carbidopa,DNM1L,14.06
Carbidopa,MAOA,14.06
Carbidopa,SNCA,14.06
Carbidopa,TNF,14.06
Gabapentin,ABCB1,12.79
Gabapentin,CNX99A,12.79
Gabapentin,CP,12.79
Gabapentin,CYP2E1,12.79
Gabapentin,GPDH1,12.79
Gabapentin,GSTM1,12.79
Gabapentin,HMOX1,12.79
Gabapentin,NQO1,12.79
Ketoconazole,ABCB1,12.64
Ketoconazole,CYP2D6,12.64
Ketoconazole,CYP2E1,12.64
Ketoconazole,GSTM1,12.64
Ketoconazole,GSTP1,12.64
Ketoconazole,HMOX1,12.64
Ketoconazole,IL6,12.64
Ketoconazole,INSR,12.64
Ketoconazole,NQO1,12.64
Ketoconazole,PPARGC1A,12.64
Ketoconazole,PRKN,12.64
Ketoconazole,SLC18A2,12.64
Ketoconazole,SOD1,12.64
Ketoconazole,TH,12.64
Ketoconazole,TNF,12.64
Domperidone,ABCB1,12.58
Domperidone,CYP2D6,12.58
Domperidone,DRD1,12.58
Domperidone,DRD2,12.58
Domperidone,IL6,12.58
Tranylcypromine,BDNF,11.64
Tranylcypromine,CYP2D6,11.64
Tranylcypromine,CYP2E1,11.64
Tranylcypromine,HMOX1,11.64
Tranylcypromine,MAOA,11.64
Desipramine,BDNF,11.5
Desipramine,CYP2D6,11.5
Desipramine,CYP2E1,11.5
Desipramine,IL6,11.5
Desipramine,TH,11.5
Desipramine,TNF,11.5
Minocycline,AIF1,11.27
Minocycline,GFAP,11.27
Minocycline,IL6,11.27
Minocycline,PRKN,11.27
Minocycline,SLC6A3,11.27
Minocycline,SOD2,11.27
Minocycline,TH,11.27
Minocycline,TNF,11.27
Zonisamide,DRD1,10.98
Zonisamide,GFAP,10.98
Zonisamide,MAOB,10.98
Zonisamide,TH,10.98
Estradiol,ABCB1,10.96
Estradiol,ADARB2,10.96
Estradiol,AIF1,10.96
Estradiol,ALDH2,10.96
Estradiol,BAG5,10.96
Estradiol,BDNF,10.96
Estradiol,BST1,10.96
Estradiol,CEACAM6,10.96
Estradiol,CP,10.96
Estradiol,CYP2E1,10.96
Estradiol,DDC,10.96
Estradiol,DDIT4,10.96
Estradiol,DNM1L,10.96
Estradiol,DRD1,10.96
Estradiol,DRD2,10.96
Estradiol,EDN1,10.96
Estradiol,ENO2,10.96
Estradiol,FBP1,10.96
Estradiol,FCER2,10.96
Estradiol,FGB,10.96
Estradiol,GDNF,10.96
Estradiol,GFAP,10.96
Estradiol,GSTA4,10.96
Estradiol,GSTM1,10.96
Estradiol,GSTP1,10.96
Estradiol,HBG1,10.96
Estradiol,HFE,10.96
Estradiol,HGF,10.96
Estradiol,HLA-DRA,10.96
Estradiol,HMOX1,10.96
Estradiol,HSPA1A,10.96
Estradiol,HSPA9,10.96
Estradiol,IGF1R,10.96
Estradiol,IGF2,10.96
Estradiol,IGF2R,10.96
Estradiol,IL6,10.96
Estradiol,INS,10.96
Estradiol,INSR,10.96
Estradiol,LRRK2,10.96
Estradiol,MAG,10.96
Estradiol,MAOA,10.96
Estradiol,MAOB,10.96
Estradiol,MAP2,10.96
Estradiol,MAP3K5,10.96
Estradiol,MAPT,10.96
Estradiol,MTA1,10.96
Estradiol,MTHFR,10.96
Estradiol,NCAPG2,10.96
Estradiol,NECTIN2,10.96
Estradiol,NGF,10.96
Estradiol,NOS1,10.96
Estradiol,NQO1,10.96
Estradiol,PARK7,10.96
Estradiol,PINK1,10.96
Estradiol,PPARGC1A,10.96
Estradiol,PRKN,10.96
Estradiol,RAB32,10.96
Estradiol,RPL14,10.96
Estradiol,RPL6,10.96
Estradiol,RPS8,10.96
Estradiol,SLC18A2,10.96
Estradiol,SLC2A14,10.96
Estradiol,SLC30A10,10.96
Estradiol,SLC38A2,10.96
Estradiol,SLC6A3,10.96
Estradiol,SNCA,10.96
Estradiol,SOD1,10.96
Estradiol,SOD2,10.96
Estradiol,TALDO1,10.96
