name,disease,label,inference_score,proteins,smiles
Pozanicline,ADHD,1,8.83,CHRNA4|CHRNB2,
Modafinil,ADHD,1,7.2,COMT|SLC6A3,
Risperidone,ADHD,1,6.29,COMT|DRD2|DRD4,
Aripiprazole,ADHD,1,6.12,CNR1|COMT|DRD2,
Citalopram,ADHD,1,4.43,CNR1|SLC6A3,
Melatonin,ADHD,1,3.96,DRD2|SLC6A3|TPH2,
Sertraline,ADHD,1,3.74,TPH2,
Ginsenoside Rg3,ADHD,1,3.6,SLC6A3,
Pergolide,ADHD,1,3.6,DRD2,
Thioridazine,ADHD,1,3.29,DRD2,
Caffeine,ADHD,1,3.27,AS3MT|CIC|COMT|DRD2|FGD1|GIT1|GRM1|SLC6A3|TPH2,
Clonidine,ADHD,1,3.26,COMT,
Imipramine,ADHD,1,3.09,CNR1,
Venlafaxine,ADHD,1,3.05,CNR1,
Chlorpromazine,ADHD,1,3.03,DRD2|STS,
Carbamazepine,ADHD,1,2.18,CHRNA4|CHRNB2|DRD2|SLC6A3,
