name,disease,label,inference_score,proteins,smiles
Trehalose,Amyotrophic Lateral Sclerosis,1,27.15,GFAP|GSR|NFE2L2|PPARGC1A|SOD1|SOD2|SQSTM1,
Lipoic acid,Amyotrophic Lateral Sclerosis,1,26.47,GFAP|GSR|GSTP1|MFN2|NFE2L2|PPARGC1A|PPARGC1B|PTGS2|SOD1|SOD2|TP53,
Tocopherol,Amyotrophic lateral sclerosis 1,1,25.47,BCL2L1|CLU|CREBBP|CST3|FOS|GDI1|GFAP|MT1|PDGFA|PON1|SERPINA3N|SOD1|TNF|XIAP,
Melatonin,Amyotrophic Lateral Sclerosis,1,25.33,GFAP|GSR|GSTP1|MFN1|MFN2|NFE2L2|NRF1|PPARGC1A|PTGS2|SOD1|SOD2|SQSTM1|TP53|UBB,
Resveratrol,Amyotrophic Lateral Sclerosis,1,20.91,ACTL6B|C9ORF72|CD40LG|CFAP410|DBR1|DPP6|ERBB4|ERCC6L2|ESRRA|GFAP|GSR|GSTP1|MFN1|MFN2|NEK1|NFE2L2|NRF1|OPTN|PLA2G4A|PON1|PPARGC1A|PPARGC1B|PTGS2|SIGMAR1|SLC1A2|SLC6A1|SMARCA4|SOD1|SOD2|SQSTM1|TNFRSF21|TP53|TUBA4A|UBB,
Edaravone,Amyotrophic Lateral Sclerosis,1,12.67,NFE2L2|PON1|PPARGC1A|SOD1|SOD2,
Aspirin,Amyotrophic Lateral Sclerosis,1,11.61,CD40LG|GFAP|NRF1|PLA2G4A|PON1|PPARGC1A|PTGS2|SOD1|SOD2|TP53,
Levodopa,Amyotrophic Lateral Sclerosis,1,9.99,ATXN2|NFE2L2|SLC1A2|SOD1|SOD2,
Lithium,Amyotrophic Lateral Sclerosis,1,9.19,GFAP|GSTP1|NFE2L2|PLA2G4A|SOD1|SOD2|TP53,
Dronabinol,Amyotrophic Lateral Sclerosis,1,8.42,ERBB4|GFAP|GSR|GSTP1|MOBP|NRF1|OPTN|PON1|PPARGC1A|PTGS2|SLC1A2|SLC6A1|SOD1|SOD2|SQSTM1|TARDBP|TP53|UNC13A,
Riluzole,Amyotrophic lateral sclerosis 1,1,7.38,NEFH|TNF,
Minocycline,Amyotrophic Lateral Sclerosis,1,6.7,GFAP|PTGS2|SOD2|TP53,
Thalidomide,Amyotrophic Lateral Sclerosis,1,4.81,NFE2L2|PTGS2|SOD1|TP53,
PRE-084,Amyotrophic Lateral Sclerosis,1,4.74,SIGMAR1,
Promethazine,Amyotrophic Lateral Sclerosis,1,4.7,SQSTM1|TP53,
Bromocriptine,Amyotrophic Lateral Sclerosis,1,4.13,NFE2L2|SOD1,
Unithiol,Amyotrophic Lateral Sclerosis,1,3.34,NFE2L2,
Gabapentin,Amyotrophic lateral sclerosis 1,1,3.33,PON1,
Lenalidomide,Amyotrophic Lateral Sclerosis,1,3.06,SOD1,
Kenpaullone,Amyotrophic Lateral Sclerosis,1,2.87,PTGS2,
