name,disease,label,inference_score,proteins,smiles
Haloperidol,Bipolar Disorder,1,14.72,BDNF|DRD1|FADS2|GAD1|GAD2|GRIK2|GRIN2A|GSK3A|GSK3B|HTR2A|INS|NCAN|PVALB|RELN|RIMS1|SERPINA1|SLC6A4|SNAP25|TAC1,
Reserpine,Bipolar Disorder,1,14.59,BDNF|DRD1|GAD1|NR3C1|NTRK2|POMC|SLC6A4|TAC1,
Lithium,Bipolar Disorder,1,11.51,BDNF|GSK3A|GSK3B|HTR2A|INS|NR3C1|PDE4B|SHANK2|SLC5A3|SLC6A4,
Diazepam,Bipolar Disorder,1,8.53,AKR1C4|BDNF|GAD1|GAD2|GRIN2A|TAC1,
Fluphenazine,Bipolar Disorder,1,7.22,DRD1|HTR2A|TAC1,
Quetiapine,Bipolar Disorder,1,6.1,BDNF|HTR2A|NDUFV2,
Cannabidiol,Bipolar Disorder,1,6.06,BDNF|CD47|GAD1|GRIK2|GSK3A|GSK3B|ITIH1|NTRK1|NTRK2|POMC|PVALB|SCN2A|SERPINA1|SLC6A4|SNAP25|TAC1,
Sulpiride,Bipolar Disorder,1,5.85,GAD1|INS|RELN,
Gabapentin,Bipolar Disorder,1,5.41,CACNA1D|SHANK2|SLC6A4|TAC1,
N-Acetylcysteine,Bipolar Disorder,1,5.34,BDNF|CPLX1|FADS2|GSK3B|INS|NR3C1|NTRK1|NTRK2|POMC|TSHB,
Aripiprazole,Bipolar Disorder,1,5.25,COMT|HTR2A|S100B|SLC6A4,
Topiramate,Bipolar Disorder,1,5.0,BDNF|GSK3B|PDE4B,
Verapamil,Bipolar Disorder,1,4.79,CACNA1C|DRD1|NR3C1|TSHB,
Tranylcypromine,Bipolar Disorder,1,4.74,BDNF|NTRK2,
Nimodipine,Bipolar Disorder,1,4.49,BDNF|CACNA1C,
Fluvoxamine,Bipolar Disorder,1,4.38,GAD1|HTR2A,
Atenolol,Bipolar Disorder,1,4.05,CACNA1C|INS,
Reboxetine,Bipolar Disorder,1,3.92,NTRK2,
Oxcarbazepine,Bipolar Disorder,1,3.7,AKR1C4,
Zonisamide,Bipolar Disorder,1,3.63,DRD1,
Allopurinol,Bipolar Disorder,1,3.51,GRIN2A|SLC5A3,
Modafinil,Bipolar Disorder,1,3.49,COMT,
Perphenazine,Bipolar Disorder,1,3.41,DRD1,
Folic Acid,Bipolar Disorder,1,3.28,ADCY2|ADD3|ANK3|BDNF|BHLHE40|CACNA1D|CD47|CPLX2|FADS2|GAD1|GAD2|GRIN2A|GSK3A|GSK3B|HDAC5|INS|MRPS33|MTHFR|NDUFV2|NR3C1|NTNG1|NTRK1|NTRK2|PDE4B|POU3F2|RIMS1|S100B|SERPINA1|SLC5A3|SLC6A4|SSBP2|STARD9|STK4|TAC1|TACR1|TENM4|THSD7A|TRANK1,
Benztropine,Bipolar Disorder,1,3.21,PC,
Trifluoperazine,Bipolar Disorder,1,2.96,NR3C1,
Mianserin,Bipolar Disorder,1,2.39,COMT|HTR2A|TAC1,
