name,disease,label,inference_score,proteins,smiles
Melatonin,Alzheimer Disease,1,64.44,ACHE|APP|ARC|ATP5F1A|BACE1|BAX|BCL2|BDNF|CALM1|CASP3|EIF2S1|ESR1|GSK3B|HMOX1|IGF1|IL1B|INS|INSR|LEP|MAPT|MPO|NOS3|PPARG|PRNP|PSEN1|SLC2A4|SOD2|TF|TFAM|TNF|VEGFA,
Nicotine,Alzheimer Disease,1,57.53,ACE|ACHE|APOE|APP|ARC|ATP5F1A|BAX|BCL2|BDNF|CALM1|CASP3|CHRNA7|CHRNB2|CRH|CST3|DHCR24|EIF2S1|ENO1|ESR1|F2|GSK3B|HLA-DRB5|HMOX1|IGF1|IGF1R|IGF2|IL1B|INSR|LEP|MPO|NOS3|NPY|PLAU|PPARG|RELN|SOD2|TF|TNF|VEGFA,
Curcumin,Alzheimer Disease,1,54.57,ACE|ACHE|AMFR|APOE|APP|BACE1|BAX|BCL2|BDNF|CASP3|CYP2D6|DHCR24|ENO1|ESR1|F2|GSK3B|HMOX1|IGF1|IGF1R|IGF2|IL1B|INS|INSR|MAPT|MPO|NOS3|PLAU|PPARG|RELN|SOD2|TF|TFAM|TNF|VEGFA,
notoginsenoside R1,Alzheimer Disease,1,50.91,APOE|APP|BAX|BCL2|CASP3|ESR1|GSK3B|HMOX1|IDE|IL1B|MPO|NOS3|PLAU|PPARG|PSEN1|TNF,
Berberine,Alzheimer Disease,1,47.42,ACHE|APP|BAX|BCHE|BCL2|CASP3|CST3|ESR1|GSK3B|HMOX1|IGF1|IGF1R|IL1B|INS|MAPT|MPO|PPARG|SLC2A4|SOD2|TNF|VEGFA,
Rosiglitazone,Alzheimer Disease,1,44.53,ADAMTS1|APOC1|APOE|APP|ATP5F1A|BAX|BCHE|BCL2|CASP3|CLU|CYP2D6|ENO1|ESR1|F2|GAPDHS|GSK3B|HMOX1|IDE|IGF1|IGF1R|IGF2R|IL1B|INS|INSR|LEP|MAOB|MAPT|MPO|MTHFR|NOS3|NPY|PPARG|SLC2A4|SOD2|TF|TFAM|TNF|TOMM40|TPI1|VEGFA,
Rivastigmine,Alzheimer Disease,1,44.1,ACE|ACHE|BAX|BCHE|BCL2|BDNF|CASP3|CHRNB2|IGF1|INSR|TNF|VEGFA,
Apigenin,Alzheimer Disease,1,43.07,A2M|ACE|ACHE|BAX|BCL2|BDNF|CASP3|ESR1|F2|HMOX1|IL1B|LEP|NOS3|PPARG|PTK2B|SLC2A4|SOD2|TNF|VEGFA,
Raloxifene,Alzheimer Disease,1,39.18,ACE|ACHE|APOE|APP|BAX|BCL2|CALM1|CASP3|CLU|DHCR24|EIF2S1|EPHA1|ESR1|HMOX1|IGF1|IGF2|IL1B|MPO|MTHFR|NOS3|PLAU|PPARG|PYY|SLC2A4|SOD2|TFAM|TNF|VEGFA,
Donepezil,Alzheimer Disease,1,37.96,ACHE|APP|BACE1|BAX|BCHE|BCL2|BDNF|CASP3|GSK3B|IL1B|MAPT|MPO|TNF,
Tadalafil,Alzheimer Disease,1,36.08,APP|BAX|BCL2|BDNF|CASP3|GSK3B|HMOX1|IL1B|MAPT|TNF|VEGFA,
Ellagic Acid,Alzheimer Disease,1,33.61,ACHE|APP|BAX|BCHE|BCL2|CASP3|HMOX1|IL1B|INPP5D|PPARG|SOD2|TFAM|TNF|VEGFA,
Deferoxamine,Alzheimer Disease,1,33.06,APP|BAX|BCL2|BDNF|CASP3|ENO1|GSK3B|HMOX1|IL1B|LEP|PLAU|SLC2A4|SOD2|TF|TNF|TPI1|VEGFA,
Resveratrol,Alzheimer Disease,1,32.31,ACE|ACHE|ADAM10|AMFR|APOC1|APOE|APP|ARC|ATP5F1A|BAX|BCHE|BCL2|BDNF|CASP3|CD2AP|CHRNA7|CLU|CST3|CYP2D6|DPYSL2|EIF2S1|ENO1|EPHA1|ESR1|F2|GSK3B|HMOX1|IDE|IGF1|IGF1R|IGF2|IGF2R|IL1B|INS|INSR|IQCK|LEP|MAOB|MAPT|MPO|NECTIN2|NOS3|NPY|PGRMC1|PLAU|PLCG2|PPARG|PRNP|PSEN1|PSEN2|PTK2B|PYY|RELN|SLC2A4|SLC30A6|SOD2|TF|TFAM|TNF|TPI1|VEGFA,
Acetylcholine,Alzheimer Disease,1,32.09,ACHE|APOE|APP|BCHE|CHRNA7|CHRNB2|CRH|ESR1|HMOX1|IL1B|INS|LEP|NOS3|SOD2|TNF,
Mifepristone,Alzheimer Disease,1,32.01,ACE|ADAMTS1|APOC1|BAX|BCL2|BDNF|CASP3|CRH|ESR1|GSK3B|HMOX1|IGF1|IGF1R|IL1B|INS|NOS3|PPARG|SOD2|TNF|VEGFA,
Minocycline,Alzheimer Disease,1,31.51,ACHE|APP|ATP5F1A|BACE1|BAX|BCL2|CASP3|EIF2S1|ENO1|GSK3B|IL1B|SOD2|TNF|TREM2|VEGFA,
Prodigiosin,Alzheimer Disease,1,31.14,ACHE|BAX|BCL2|BDNF|CASP3|HMOX1|IL1B|TNF,
5-Methoxypsoralen,Alzheimer Disease,1,31.13,APP|BAX|BDNF|CASP3|GSK3B|IL1B|MAPT|NOS3|TNF,
Paroxetine,Alzheimer Disease,1,30.97,APP|ARC|BAX|BCL2|BDNF|CASP3|CYP2D6|HMOX1|IL1B|INS|SOD2|TNF|VEGFA,
Indomethacin,Alzheimer Disease,1,30.83,A2M|ABI3|ACE|ACHE|ADAM10|ADAMTS1|APOC1|APOE|APP|ATP5F1A|BACE1|BAX|BCHE|BCL2|CASP3|CRH|CST3|DHCR24|ENO1|F2|GAPDHS|GSK3B|HFE|HMOX1|IGF1|IGF1R|IGF2|IL1B|INS|INSR|IQCK|LEP|MAOB|MPO|NCSTN|NOS3|NPY|PICALM|PILRA|PLAU|PPARG|SLC2A4|SOD2|TF|TFAM|TNF|TPI1|TPP1|VEGFA|WWOX,
Niacin,Alzheimer Disease,1,30.42,ACE|ACHE|BDNF|CASP3|HMOX1|IL1B|LEP|MPO|NOS3|PPARG|SLC2A4|SOD2|TNF|VEGFA,
Trichlorfon,Alzheimer Disease,1,30.07,A2M|ACHE|APP|BCHE|BCL2|CASP3|IL1B|SOD2|TNF,
Cannabidiol,Alzheimer Disease,1,29.95,ACE|APP|ATP5F1A|BACE1|BAX|BCL2|BDNF|CASP3|CD33|CHRNA7|CLU|CRH|CYP2D6|ESR1|GSK3B|HMOX1|IDE|IL1B|INPP5D|LEP|MAOB|MAPT|MPO|NCSTN|NPY|PPARG|PSEN1|PSEN2|SOD2|TNF|VEGFA|VSNL1|WWOX,
Tolonium Chloride,Alzheimer Disease,1,29.85,ACHE|APP|BACE1|GSK3B|MAPT|PSEN1,
"6,7-dihydroxyflavone",Alzheimer Disease,1,27.73,APP|BACE1|BAX|BCL2|BDNF|CASP3|HMOX1,
Galantamine,Alzheimer Disease,1,27.33,ACHE|APP|BAX|BCHE|BCL2|CASP3|CHRNA7|CHRNB2,
icariin,Alzheimer Disease,1,26.22,APP|BACE1|BAX|BCL2|CASP3|IGF1|IL1B|NOS3|PPARG|SOD2|TNF|VEGFA,
huperzine A,Alzheimer Disease,1,26.12,ACHE|APP|BAX|BCL2|CASP3|IL1B|TNF,
Ibuprofen,Alzheimer Disease,1,25.96,ACHE|APP|BACE1|CASP3|CLU|ENO1|ESR1|IGF1|IGF2R|IL1B|MPO|NOS3|PLAU|PPARG|PYY|SOD2|TNF|TPI1|VEGFA,
Memantine,Alzheimer Disease,1,25.79,ACHE|APP|ARC|BAX|BCL2|CASP3|GSK3B|IL1B|TNF,
Tacrine,Alzheimer Disease,1,24.83,ACHE|BAX|BCHE|BCL2|BDNF|CHRNB2|HMOX1|IL1B|TNF,
bisdemethoxycurcumin,Alzheimer Disease,1,22.93,APP|HMOX1|IL1B|PLAU|PPARG|TNF|VEGFA,
Haloperidol,Alzheimer Disease,1,22.71,ACHE|APOC1|ARC|BAX|BCL2|BDNF|CASP3|CRH|CST3|CYP2D6|ENO1|GSK3B|IL1B|INS|MAOB|NPY|PICALM|RELN|SLC2A4|SOD2|TNF|TPI1|VSNL1,
Dronabinol,Alzheimer Disease,1,21.99,ABCA7|ACHE|ADAMTS1|APP|ARC|ATP5F1A|BACE1|BAX|BCL2|BDNF|CASP3|CLU|CRH|CYP46A1|DHCR24|EIF2S1|ENO1|ESR1|GSK3B|HMOX1|IGF1|IGF1R|IL1B|IQCK|LEP|MAOB|NCSTN|NOS3|PGRMC1|PLAU|PPARG|PSEN1|RELN|SOD2|TF|TFAM|TNF|TREM2|VEGFA,
Cholecalciferol,Alzheimer Disease,1,21.24,ACHE|BAX|BCL2|CASP3|CYP2D6|INS|PPARG|SLC2A4|TNF|VEGFA,
