name,disease,label,inference_score,proteins,smiles
4-Phenylbutyric Acid,Parkinson's Disease,1,43.59,DNM1L|GSTA4|HGF|HMOX1|HSPA1A|HSPA9|IL6|INS|MAP3K5|NQO1|PARK7|PINK1|PPARGC1A|PRKN|SLC38A2|SNCA|SOD1|SOD2|TH|TNF,
Sirolimus,Parkinson's Disease,1,34.02,ABCB1|BDNF|CP|CYP2E1|DNM1L|EDN1|ENO2|FGB|HMOX1|IGF1R|IGF2|IL6|INS|MAP2|MAPT|NQO1|PINK1|PPARGC1A|PRKN|SNCA|SOD1|SOD2|TNF,
Levodopa,Parkinson's Disease,1,28.88,DDC|DRD1|DRD2|HMOX1|MAP3K5|NGF|PARK7|PINK1|PRKN|SLC6A3|SNCA|SOD1|SOD2|TH,
Mangiferin,Parkinson's Disease,1,27.35,ABCB1|CYP2D6|CYP2E1|DNM1L|FBP1|HMOX1|IL6|INS|NGF|NQO1|PPARGC1A|SOD1|TNF,
Clozapine,Parkinson's Disease,1,26.97,ABCB1|BDNF|CYP2D6|DDC|DRD1|DRD2|GFAP|GSTM1|GSTP1|HMOX1|HSPA9|INS|LRRK2|MAOB|MTHFR|NECTIN2|PARK7|SLC18A2|SLC6A3|SOD1|SOD2|TH|TNF,
Propranolol,Parkinson's Disease,1,24.32,ABCB1|CYP2D6|GFAP|HMOX1|IL6|INS|LRRK2|NGF|PARK7|PINK1|PPARGC1A|SLC18A2|SOD1|TNF,
Eicosapentaenoic Acid,Parkinson's Disease,1,22.86,CYP2E1|GSTP1|HMOX1|IL6|NGF|NQO1|PPARGC1A|SOD1|TNF|TRPM2,
Selegiline,Parkinson's Disease,1,22.8,HMOX1|MAOA|MAOB|NQO1|PRKN|SNCA|SOD2|TH,
Eugenol,Parkinson's Disease,1,20.87,BDNF|CYP2D6|CYP2E1|DRD1|GSTM1|GSTP1|HMOX1|IL6|MAOA|MAP3K5|NQO1|RPL6|SOD1|SOD2|TNF,
Aspirin,Parkinson's Disease,1,20.44,ABCB1|BDNF|CYP2E1|FGB|GDNF|GFAP|GSTM1|HGF|HMOX1|HSPA1A|IGF2|IGF2R|IL6|MTA1|NQO1|PPARGC1A|SNCA|SOD1|SOD2|TNF,
Roflumilast,Parkinson's Disease,1,19.48,BDNF|HMOX1|IL6|NGF|NQO1|SNCA|TNF,
Bromocriptine,Parkinson's Disease,1,17.75,ABCB1|BDNF|DRD2|GDNF|HMOX1|INS|NGF|SOD1|TNF,
Pioglitazone,Parkinson's Disease,1,17.59,ABCB1|BDNF|CYP2E1|DDIT4|DRD1|EDN1|GSTP1|HMOX1|IL6|INS|MAOB|NQO1|PPARGC1A|SLC2A14|SOD1|SOD2|TNF,
Nardosinone,Parkinson's Disease,1,17.31,SLC38A2|SNCA|TH|TNF,
Cabergoline,Parkinson's Disease,1,14.98,BDNF|DRD1|DRD2|GDNF|NGF,
Carbidopa,Parkinson's Disease,1,14.06,DDC|DNM1L|MAOA|SNCA|TNF,
Gabapentin,Parkinson's Disease,1,12.79,ABCB1|CNX99A|CP|CYP2E1|GPDH1|GSTM1|HMOX1|NQO1,
Ketoconazole,Parkinson's Disease,1,12.64,ABCB1|CYP2D6|CYP2E1|GSTM1|GSTP1|HMOX1|IL6|INSR|NQO1|PPARGC1A|PRKN|SLC18A2|SOD1|TH|TNF,
Domperidone,Parkinson's Disease,1,12.58,ABCB1|CYP2D6|DRD1|DRD2|IL6,
Tranylcypromine,Parkinson's Disease,1,11.64,BDNF|CYP2D6|CYP2E1|HMOX1|MAOA,
Desipramine,Parkinson's Disease,1,11.5,BDNF|CYP2D6|CYP2E1|IL6|TH|TNF,
Minocycline,Parkinson's Disease,1,11.27,AIF1|GFAP|IL6|PRKN|SLC6A3|SOD2|TH|TNF,
