Chemical Name,Chemical ID,CAS RN,Disease Name,Disease ID,Direct Evidence,Inference Network,Inference Score,Reference Count
Streptozocin,D013311,18883-66-4,Alzheimer Disease,MESH:D000544,marker/mechanism,A2M|ACE|ACHE|APOE|APP|ATP5F1A|BACE1|BAX|BCHE|BCL2|BDNF|CALM1|CASP3|CLU|CST3|EIF2S1|ENO1|ESR1|GSK3B|HMOX1|IGF1|IGF1R|IGF2R|IL1B|INS|INSR|LEP|MAPT|MIR100|MIR146A|MIR375|MPO|MTHFR|NOS3|NPY|PLAU|PPARG|PYY|SLC2A4|SOD2|TFAM|TNF|TOMM40|VEGFA,67.22,88
Zinc,D015032,7440-66-6,Alzheimer Disease,MESH:D000544,marker/mechanism,A2M|ACE|ACHE|APOE|APP|ARC|ATP5F1A|BAX|BCL2|BDNF|CALM1|CASP3|CLU|CR1|CYP2D6|EIF2S1|ENO1|ESR1|F2|GSK3B|HFE|HMOX1|IDE|IGF1|IGF1R|IGF2|IL1B|INS|INSR|LEP|MAPT|MIR100|MIR146A|MIR296|MIR375|MPO|NECTIN2|NOS3|NPY|PGRMC1|PLAU|PPARG|PRNP|PSEN1|PTK2B|SLC30A4|SLC30A6|SOD2|SPRED2|TF|TNF|TOMM40|TPI1|VEGFA,64.50,97
Aluminum Chloride,D000077410,,Alzheimer Disease,MESH:D000544,marker/mechanism,ACHE|APP|BACE1|BAX|BCHE|BCL2|BDNF|CASP3|CRH|GSK3B|HMOX1|IGF1|IL1B|INS|MAPT|MPO|PSEN2|SOD2|TF|TNF|TREM2|VEGFA,62.07,67
Glucose,D005947,50-99-7,Alzheimer Disease,MESH:D000544,marker/mechanism,A2M|ACE|ACHE|ADAMTS1|APOE|APP|ATP5F1A|BAX|BCHE|BCL2|CALM1|CASP3|EIF2S1|ENO1|EPHA1|ESR1|GAPDHS|GSK3B|HMOX1|IDE|IGF1|IGF1R|IGF2R|IL1B|INS|INSR|LEP|MAOB|MAPT|MIR146A|MPO|NOS3|NPY|PGRMC1|PLAU|PPARG|PRNP|PSEN1|PSEN2|PYY|SLC2A4|SOD2|TFAM|TNF|TREM2|TSPAN14|VEGFA,48.66,93
Fluorides,D005459,,Alzheimer Disease,MESH:D000544,marker/mechanism,ACHE|APOE|APP|BAX|BCHE|BCL2|BDNF|CASP3|CST3|GSK3B|IL1B|MAPT|MPO|NOS3|PPARG|SOD2|TFAM|TNF,48.17,64
Hydrogen Peroxide,D006861,7722-84-1,Alzheimer Disease,MESH:D000544,marker/mechanism,ACE|AMFR|APH1B|APOE|APP|ATP5F1A|BACE1|BAX|BCL2|BDNF|BIN1|CALM1|CASP3|CCDC6|CD2AP|CD33|CLU|CR1|CRH|CYP2D6|EIF2S1|ENO1|ESR1|GSK3B|HMOX1|IGF1|IGF1R|IGF2|IL1B|INPP5D|INS|INSR|LEP|MAPT|MIR100|MIR146A|MIR296|MIR505|MIR766|MPO|NCK2|NOS3|PICALM|PLCG2|PPARG|PRNP|PTK2B|SOD2|TF|TFAM|TNF|TPP1|VEGFA|VSNL1|WWOX,47.17,83
27-hydroxycholesterol,C076996,,Alzheimer Disease,MESH:D000544,marker/mechanism,APOE|APP|ARC|BACE1|ESR1|GSK3B|HMOX1|IGF1|IL1B|LEP|MAPT|NOS3|PPARG|VEGFA,44.42,60
Nitric Oxide,D009569,10102-43-9,Alzheimer Disease,MESH:D000544,marker/mechanism,ACE|APOE|APP|BAX|BCL2|BDNF|CALM1|CASP3|CRH|ESR1|F2|HMOX1|IL1B|INS|LEP|MPO|NOS3|PPARG|SOD2|TNF|VEGFA,42.02,68
Cadmium,D002104,7440-43-9,Alzheimer Disease,MESH:D000544,marker/mechanism,A2M|ABCA7|ABI3|ACE|ACHE|ADAM10|APH1B|APOC1|APOE|APP|ARC|ATP5F1A|BACE1|BAX|BCHE|BCL2|BDNF|BIN1|CALM1|CASP3|CCDC6|CD2AP|CHRNA7|CLU|CRH|CST3|CTR1B|DHCR24|EIF2S1|ENO1|EPHA1|ESR1|F2|GSK3B|HMOX1|IDE|IGF1|IGF1R|IGF2|IGF2R|IL1B|INPP5D|INS|INSR|LEP|MAOB|MAPT|MIR146A|MIR375|MIR505|MPO|MTHFR|NCK2|NCSTN|NECTIN2|NOS3|NPY|PGRMC1|PLAU|PLCG2|PPARG|PRNP|PSEN1|PSEN2|PTK2B|RELN|SLC2A4|SLC30A4|SOD2|SPRED2|TF|TFAM|TNF|TOMM40|TPI1|TPP1|TREM2|VEGFA|VSNL1|WWOX,41.71,109
Galactose,D005690,26566-61-0,Alzheimer Disease,MESH:D000544,marker/mechanism,ACHE|APP|ATP5F1A|BAX|BCL2|BDNF|CASP3|GSK3B|HMOX1|IL1B|MAPT|PLAU|SOD2|TFAM|TNF,41.31,50
