name,Type,Inference Score,label,smiles,disease,inference_score,proteins
Melatonin,therapeutic,64.44,1,CC(=O)NCCC1=CNC2=C1C=C(C=C2)OC,,,
Nicotine,therapeutic,57.53,1,CN1CCCC1C2=CN=CC=C2,,,
Curcumin,therapeutic,54.57,1,COC1=C(C=CC(=C1)C=CC(=O)CC(=O)C=CC2=CC(=C(C=C2)O)OC)O,,,
Notoginsenoside R1,therapeutic,50.91,1,CC(=CCCC(C)(C1CCC2(C1C(CC3C2(CC(C4C3(CCC(C4(C)C)O)C)OC5C(C(C(C(O5)CO)O)O)OC6C(C(C(CO6)O)O)O)C)O)C)OC7C(C(C(C(O7)CO)O)O)O)C,,,
Berberine,therapeutic,47.42,1,COC1=C(C2=C[N+]3=C(C=C2C=C1)C4=CC5=C(C=C4CC3)OCO5)OC,,,
Rosiglitazone,therapeutic,44.53,1,CN(CCOC1=CC=C(C=C1)CC2C(=O)NC(=O)S2)C3=CC=CC=N3,,,
Plant Preparations,therapeutic,44.51,1,,,,
Rivastigmine,therapeutic,44.1,1,CCN(C)C(=O)OC1=CC=CC(=C1)C(C)N(C)C,,,
Apigenin,therapeutic,43.07,1,C1=CC(=CC=C1C2=CC(=O)C3=C(C=C(C=C3O2)O)O)O,,,
Raloxifene,therapeutic,39.18,1,C1CCN(CC1)CCOC2=CC=C(C=C2)C(=O)C3=C(SC4=C3C=CC(=C4)O)C5=CC=C(C=C5)O,,,
Donepezil,therapeutic,37.96,1,COC1=C(C=C2C(=C1)CC(C2=O)CC3CCN(CC3)CC4=CC=CC=C4)OC,,,
Tadalafil,therapeutic,36.08,1,CN1CC(=O)N2C(C1=O)CC3=C(C2C4=CC5=C(C=C4)OCO5)NC6=CC=CC=C36,,,
Ellagic Acid,therapeutic,33.61,1,C1=C2C3=C(C(=C1O)O)OC(=O)C4=CC(=C(C(=C43)OC2=O)O)O,,,
Deferoxamine,therapeutic,33.06,1,CC(=O)N(CCCCCNC(=O)CCC(=O)N(CCCCCNC(=O)CCC(=O)N(CCCCCN)O)O)O,,,
Biological Products,therapeutic,32.42,1,,,,
Resveratrol,therapeutic,32.31,1,C1=CC(=CC=C1C=CC2=CC(=CC(=C2)O)O)O,,,
Acetylcholine,therapeutic,32.09,1,CC(=O)OCC[N+](C)(C)C,,,
Mifepristone,therapeutic,32.01,1,CC#CC1(CCC2C1(CC(C3=C4CCC(=O)C=C4CCC23)C5=CC=C(C=C5)N(C)C)C)O,,,
Minocycline,therapeutic,31.51,1,CN(C)C1C2CC3CC4=C(C=CC(=C4C(=C3C(=O)C2(C(=C(C1=O)C(=O)N)O)O)O)O)N(C)C,,,
Prodigiosin,therapeutic,31.14,1,CCCCCC1=CC(=CC2=C(C=C(N2)C3=CC=CN3)OC)N=C1C,,,
5-Methoxypsoralen,therapeutic,31.13,1,COC1=C2C=CC(=O)OC2=CC3=C1C=CO3,,,
Paroxetine,therapeutic,30.97,1,C1CNCC(C1C2=CC=C(C=C2)F)COC3=CC4=C(C=C3)OCO4,,,
"Nanotubes, Carbon",therapeutic,30.96,1,,,,
Indomethacin,therapeutic,30.83,1,CC1=C(C2=C(N1C(=O)C3=CC=C(C=C3)Cl)C=CC(=C2)OC)CC(=O)O,,,
Niacin,therapeutic,30.42,1,C1=CC(=CN=C1)C(=O)O,,,
Trichlorfon,therapeutic,30.07,1,COP(=O)(C(C(Cl)(Cl)Cl)O)OC,,,
Cannabidiol,therapeutic,29.95,1,CCCCCC1=CC(=C(C(=C1)O)C2C=C(CCC2C(=C)C)C)O,,,
Tolonium Chloride,therapeutic,29.85,1,CC1=CC2=C(C=C1N)SC3=CC(=[N+](C)C)C=CC3=N2.[Cl-],,,
"6,7-Dihydroxyflavone",therapeutic,27.73,1,C1=CC=C(C=C1)C2=CC(=O)C3=CC(=C(C=C3O2)O)O,,,
Plant Extracts,therapeutic,27.38,1,,,,
Galantamine,therapeutic,27.33,1,CN1CCC23C=CC(CC2OC4=C(C=CC(=C34)C1)OC)O,,,
Icariin,therapeutic,26.22,1,CC1C(C(C(C(O1)OC2=C(OC3=C(C2=O)C(=CC(=C3CC=C(C)C)OC4C(C(C(C(O4)CO)O)O)O)O)C5=CC=C(C=C5)OC)O)O)O,,,
Huperzine A,therapeutic,26.12,1,CC=C1C2CC3=C(C1(CC(=C2)C)N)C=CC(=O)N3,,,
