name,disease,label,inference_score,proteins,smiles
Melatonin,Alzheimer's Disease,1,64.44,ACHE|APP|ARC|ATP5F1A|BACE1|BAX|BCL2|BDNF|CALM1|CASP3|EIF2S1|ESR1|GSK3B|HMOX1|IGF1|IL1B|INS|INSR|LEP|MAPT|MPO|NOS3|PPARG|PRNP|PSEN1|SLC2A4|SOD2|TF|TFAM|TNF|VEGFA,CC(=O)NCCC1=CNC2=C1C=C(C=C2)OC
Nicotine,Alzheimer's Disease,1,57.53,ACE|ACHE|APOE|APP|ARC|ATP5F1A|BAX|BCL2|BDNF|CALM1|CASP3|CHRNA7|CHRNB2|CRH|CST3|DHCR24|EIF2S1|ENO1|ESR1|F2|GSK3B|HLA-DRB5|HMOX1|IGF1|IGF1R|IGF2|IL1B|INSR|LEP|MPO|NOS3|NPY|PLAU|PPARG|RELN|SOD2|TF|TNF|VEGFA,CN1CCCC1C2=CN=CC=C2
Curcumin,Alzheimer's Disease,1,54.57,ACE|ACHE|AMFR|APOE|APP|BACE1|BAX|BCL2|BDNF|CASP3|CYP2D6|DHCR24|ENO1|ESR1|F2|GSK3B|HMOX1|IGF1|IGF1R|IGF2|IL1B|INS|INSR|MAPT|MPO|NOS3|PLAU|PPARG|RELN|SOD2|TF|TFAM|TNF|VEGFA,COC1=C(C=CC(=C1)C=CC(=O)CC(=O)C=CC2=CC(=C(C=C2)O)OC)O
Notoginsenoside R1,Alzheimer's Disease,1,50.91,APOE|APP|BAX|BCL2|CASP3|ESR1|GSK3B|HMOX1|IDE|IL1B|MPO|NOS3|PLAU|PPARG|PSEN1|TNF,CC(=CCCC(C)(C1CCC2(C1C(CC3C2(CC(C4C3(CCC(C4(C)C)O)C)OC5C(C(C(C(O5)CO)O)O)OC6C(C(C(CO6)O)O)O)C)O)C)OC7C(C(C(C(O7)CO)O)O)O)C
Berberine,Alzheimer's Disease,1,47.42,ACHE|APP|BAX|BCHE|BCL2|CASP3|CST3|ESR1|GSK3B|HMOX1|IGF1|IGF1R|IL1B|INS|MAPT|MPO|PPARG|SLC2A4|SOD2|TNF|VEGFA,COC1=C(C2=C[N+]3=C(C=C2C=C1)C4=CC5=C(C=C4CC3)OCO5)OC
Rosiglitazone,Alzheimer's Disease,1,44.53,ADAMTS1|APOC1|APOE|APP|ATP5F1A|BAX|BCHE|BCL2|CASP3|CLU|CYP2D6|ENO1|ESR1|F2|GAPDHS|GSK3B|HMOX1|IDE|IGF1|IGF1R|IGF2R|IL1B|INS|INSR|LEP|MAOB|MAPT|MPO|MTHFR|NOS3|NPY|PPARG|SLC2A4|SOD2|TF|TFAM|TNF|TOMM40|TPI1|VEGFA,CN(CCOC1=CC=C(C=C1)CC2C(=O)NC(=O)S2)C3=CC=CC=N3
Rivastigmine,Alzheimer's Disease,1,44.1,ACE|ACHE|BAX|BCHE|BCL2|BDNF|CASP3|CHRNB2|IGF1|INSR|TNF|VEGFA,CCN(C)C(=O)OC1=CC=CC(=C1)C(C)N(C)C
Apigenin,Alzheimer's Disease,1,43.07,A2M|ACE|ACHE|BAX|BCL2|BDNF|CASP3|ESR1|F2|HMOX1|IL1B|LEP|NOS3|PPARG|PTK2B|SLC2A4|SOD2|TNF|VEGFA,C1=CC(=CC=C1C2=CC(=O)C3=C(C=C(C=C3O2)O)O)O
Raloxifene,Alzheimer's Disease,1,39.18,ACE|ACHE|APOE|APP|BAX|BCL2|CALM1|CASP3|CLU|DHCR24|EIF2S1|EPHA1|ESR1|HMOX1|IGF1|IGF2|IL1B|MPO|MTHFR|NOS3|PLAU|PPARG|PYY|SLC2A4|SOD2|TFAM|TNF|VEGFA,C1CCN(CC1)CCOC2=CC=C(C=C2)C(=O)C3=C(SC4=C3C=CC(=C4)O)C5=CC=C(C=C5)O
Donepezil,Alzheimer's Disease,1,37.96,ACHE|APP|BACE1|BAX|BCHE|BCL2|BDNF|CASP3|GSK3B|IL1B|MAPT|MPO|TNF,COC1=C(C=C2C(=C1)CC(C2=O)CC3CCN(CC3)CC4=CC=CC=C4)OC
