name,disease,label,inference_score,proteins,smiles
Pozanicline,ADHD,1,8.83,CHRNA4|CHRNB2,CC1=C(C=CC=N1)OCC2CCCN2
Modafinil,ADHD,1,7.2,COMT|SLC6A3,C1=CC=C(C=C1)C(C2=CC=CC=C2)S(=O)CC(=O)N
Risperidone,ADHD,1,6.29,COMT|DRD2|DRD4,CC1=C(C(=O)N2CCCCC2=N1)CCN3CCC(CC3)C4=NOC5=C4C=CC(=C5)F
Aripiprazole,ADHD,1,6.12,CNR1|COMT|DRD2,C1CC(=O)NC2=C1C=CC(=C2)OCCCCN3CCN(CC3)C4=C(C(=CC=C4)Cl)Cl
Citalopram,ADHD,1,4.43,CNR1|SLC6A3,CN(C)CCCC1(C2=C(CO1)C=C(C=C2)C#N)C3=CC=C(C=C3)F
Melatonin,ADHD,1,3.96,DRD2|SLC6A3|TPH2,CC(=O)NCCC1=CNC2=C1C=C(C=C2)OC
Sertraline,ADHD,1,3.74,TPH2,CNC1CCC(C2=CC=CC=C12)C3=CC(=C(C=C3)Cl)Cl
Ginsenoside Rg3,ADHD,1,3.6,SLC6A3,CC(=CCCC(C)(C1CCC2(C1C(CC3C2(CCC4C3(CCC(C4(C)C)OC5C(C(C(C(O5)CO)O)O)OC6C(C(C(C(O6)CO)O)O)O)C)C)O)C)O)C
Pergolide,ADHD,1,3.6,DRD2,CCCN1CC(CC2C1CC3=CNC4=CC=CC2=C34)CSC
Thioridazine,ADHD,1,3.29,DRD2,CN1CCCCC1CCN2C3=CC=CC=C3SC4=C2C=C(C=C4)SC
Caffeine,ADHD,1,3.27,AS3MT|CIC|COMT|DRD2|FGD1|GIT1|GRM1|SLC6A3|TPH2,CN1C=NC2=C1C(=O)N(C(=O)N2C)C
Clonidine,ADHD,1,3.26,COMT,C1CN=C(N1)NC2=C(C=CC=C2Cl)Cl
Imipramine,ADHD,1,3.09,CNR1,CN(C)CCCN1C2=CC=CC=C2CCC3=CC=CC=C31
Venlafaxine,ADHD,1,3.05,CNR1,CN(C)CC(C1=CC=C(C=C1)OC)C2(CCCCC2)O
Chlorpromazine,ADHD,1,3.03,DRD2|STS,CN(C)CCCN1C2=CC=CC=C2SC3=C1C=C(C=C3)Cl
Carbamazepine,ADHD,1,2.18,CHRNA4|CHRNB2|DRD2|SLC6A3,C1=CC=C2C(=C1)C=CC3=CC=CC=C3N2C(=O)N
