name,disease,label,inference_score,proteins,smiles
Trehalose,Amyotrophic Lateral Sclerosis,1,27.15,GFAP|GSR|NFE2L2|PPARGC1A|SOD1|SOD2|SQSTM1,C(C1C(C(C(C(O1)OC2C(C(C(C(O2)CO)O)O)O)O)O)O)O
Lipoic acid,Amyotrophic Lateral Sclerosis,1,26.47,GFAP|GSR|GSTP1|MFN2|NFE2L2|PPARGC1A|PPARGC1B|PTGS2|SOD1|SOD2|TP53,C1CSSC1CCCCC(=O)O
Tocopherol,Amyotrophic lateral sclerosis 1,1,25.47,BCL2L1|CLU|CREBBP|CST3|FOS|GDI1|GFAP|MT1|PDGFA|PON1|SERPINA3N|SOD1|TNF|XIAP,CC1=C(C=C2CCC(OC2=C1C)(C)CCCC(C)CCCC(C)CCCC(C)C)O
Melatonin,Amyotrophic Lateral Sclerosis,1,25.33,GFAP|GSR|GSTP1|MFN1|MFN2|NFE2L2|NRF1|PPARGC1A|PTGS2|SOD1|SOD2|SQSTM1|TP53|UBB,CC(=O)NCCC1=CNC2=C1C=C(C=C2)OC
Resveratrol,Amyotrophic Lateral Sclerosis,1,20.91,ACTL6B|C9ORF72|CD40LG|CFAP410|DBR1|DPP6|ERBB4|ERCC6L2|ESRRA|GFAP|GSR|GSTP1|MFN1|MFN2|NEK1|NFE2L2|NRF1|OPTN|PLA2G4A|PON1|PPARGC1A|PPARGC1B|PTGS2|SIGMAR1|SLC1A2|SLC6A1|SMARCA4|SOD1|SOD2|SQSTM1|TNFRSF21|TP53|TUBA4A|UBB,C1=CC(=CC=C1C=CC2=CC(=CC(=C2)O)O)O
Edaravone,Amyotrophic Lateral Sclerosis,1,12.67,NFE2L2|PON1|PPARGC1A|SOD1|SOD2,CC1=NN(C(=O)C1)C2=CC=CC=C2
Aspirin,Amyotrophic Lateral Sclerosis,1,11.61,CD40LG|GFAP|NRF1|PLA2G4A|PON1|PPARGC1A|PTGS2|SOD1|SOD2|TP53,CC(=O)OC1=CC=CC=C1C(=O)O
Levodopa,Amyotrophic Lateral Sclerosis,1,9.99,ATXN2|NFE2L2|SLC1A2|SOD1|SOD2,C1=CC(=C(C=C1CC(C(=O)O)N)O)O
Lithium,Amyotrophic Lateral Sclerosis,1,9.19,GFAP|GSTP1|NFE2L2|PLA2G4A|SOD1|SOD2|TP53,[Li]
Dronabinol,Amyotrophic Lateral Sclerosis,1,8.42,ERBB4|GFAP|GSR|GSTP1|MOBP|NRF1|OPTN|PON1|PPARGC1A|PTGS2|SLC1A2|SLC6A1|SOD1|SOD2|SQSTM1|TARDBP|TP53|UNC13A,CCCCCC1=CC(=C2C3C=C(CCC3C(OC2=C1)(C)C)C)O
Riluzole,Amyotrophic lateral sclerosis 1,1,7.38,NEFH|TNF,C1=CC2=C(C=C1OC(F)(F)F)SC(=N2)N
Minocycline,Amyotrophic Lateral Sclerosis,1,6.7,GFAP|PTGS2|SOD2|TP53,CN(C)C1C2CC3CC4=C(C=CC(=C4C(=C3C(=O)C2(C(=C(C1=O)C(=O)N)O)O)O)O)N(C)C
Thalidomide,Amyotrophic Lateral Sclerosis,1,4.81,NFE2L2|PTGS2|SOD1|TP53,C1CC(=O)NC(=O)C1N2C(=O)C3=CC=CC=C3C2=O
PRE-084,Amyotrophic Lateral Sclerosis,1,4.74,SIGMAR1,C1CCC(CC1)(C2=CC=CC=C2)C(=O)OCCN3CCOCC3
Promethazine,Amyotrophic Lateral Sclerosis,1,4.7,SQSTM1|TP53,CC(CN1C2=CC=CC=C2SC3=CC=CC=C31)N(C)C
Bromocriptine,Amyotrophic Lateral Sclerosis,1,4.13,NFE2L2|SOD1,CC(C)CC1C(=O)N2CCCC2C3(N1C(=O)C(O3)(C(C)C)NC(=O)C4CN(C5CC6=C(NC7=CC=CC(=C67)C5=C4)Br)C)O
Unithiol,Amyotrophic Lateral Sclerosis,1,3.34,NFE2L2,C(C(CS(=O)(=O)[O-])S)S.[Na+]
Gabapentin,Amyotrophic lateral sclerosis 1,1,3.33,PON1,C1CCC(CC1)(CC(=O)O)CN
Lenalidomide,Amyotrophic Lateral Sclerosis,1,3.06,SOD1,C1CC(=O)NC(=O)C1N2CC3=C(C2=O)C=CC=C3N
Kenpaullone,Amyotrophic Lateral Sclerosis,1,2.87,PTGS2,C1C2=C(C3=CC=CC=C3NC1=O)NC4=C2C=C(C=C4)Br
