name,disease,label,inference_score,proteins,smiles
Haloperidol,Bipolar Disorder,1,14.72,BDNF|DRD1|FADS2|GAD1|GAD2|GRIK2|GRIN2A|GSK3A|GSK3B|HTR2A|INS|NCAN|PVALB|RELN|RIMS1|SERPINA1|SLC6A4|SNAP25|TAC1,C1CN(CCC1(C2=CC=C(C=C2)Cl)O)CCCC(=O)C3=CC=C(C=C3)F
Reserpine,Bipolar Disorder,1,14.59,BDNF|DRD1|GAD1|NR3C1|NTRK2|POMC|SLC6A4|TAC1,COC1C(CC2CN3CCC4=C(C3CC2C1C(=O)OC)NC5=C4C=CC(=C5)OC)OC(=O)C6=CC(=C(C(=C6)OC)OC)OC
Lithium,Bipolar Disorder,1,11.51,BDNF|GSK3A|GSK3B|HTR2A|INS|NR3C1|PDE4B|SHANK2|SLC5A3|SLC6A4,[Li]
Diazepam,Bipolar Disorder,1,8.53,AKR1C4|BDNF|GAD1|GAD2|GRIN2A|TAC1,CN1C(=O)CN=C(C2=C1C=CC(=C2)Cl)C3=CC=CC=C3
Fluphenazine,Bipolar Disorder,1,7.22,DRD1|HTR2A|TAC1,C1CN(CCN1CCCN2C3=CC=CC=C3SC4=C2C=C(C=C4)C(F)(F)F)CCO
Quetiapine,Bipolar Disorder,1,6.1,BDNF|HTR2A|NDUFV2,C1CN(CCN1CCOCCO)C2=NC3=CC=CC=C3SC4=CC=CC=C42
Cannabidiol,Bipolar Disorder,1,6.06,BDNF|CD47|GAD1|GRIK2|GSK3A|GSK3B|ITIH1|NTRK1|NTRK2|POMC|PVALB|SCN2A|SERPINA1|SLC6A4|SNAP25|TAC1,CCCCCC1=CC(=C(C(=C1)O)C2C=C(CCC2C(=C)C)C)O
Sulpiride,Bipolar Disorder,1,5.85,GAD1|INS|RELN,CCN1CCCC1CNC(=O)C2=C(C=CC(=C2)S(=O)(=O)N)OC
Gabapentin,Bipolar Disorder,1,5.41,CACNA1D|SHANK2|SLC6A4|TAC1,C1CCC(CC1)(CC(=O)O)CN
N-Acetylcysteine,Bipolar Disorder,1,5.34,BDNF|CPLX1|FADS2|GSK3B|INS|NR3C1|NTRK1|NTRK2|POMC|TSHB,CC(=O)NC(CS)C(=O)O
Aripiprazole,Bipolar Disorder,1,5.25,COMT|HTR2A|S100B|SLC6A4,C1CC(=O)NC2=C1C=CC(=C2)OCCCCN3CCN(CC3)C4=C(C(=CC=C4)Cl)Cl
Topiramate,Bipolar Disorder,1,5.0,BDNF|GSK3B|PDE4B,CC1(OC2COC3(C(C2O1)OC(O3)(C)C)COS(=O)(=O)N)C
Verapamil,Bipolar Disorder,1,4.79,CACNA1C|DRD1|NR3C1|TSHB,CC(C)C(CCCN(C)CCC1=CC(=C(C=C1)OC)OC)(C#N)C2=CC(=C(C=C2)OC)OC
Tranylcypromine,Bipolar Disorder,1,4.74,BDNF|NTRK2,C1C(C1N)C2=CC=CC=C2
Nimodipine,Bipolar Disorder,1,4.49,BDNF|CACNA1C,CC1=C(C(C(=C(N1)C)C(=O)OC(C)C)C2=CC(=CC=C2)[N+](=O)[O-])C(=O)OCCOC
Fluvoxamine,Bipolar Disorder,1,4.38,GAD1|HTR2A,COCCCCC(=NOCCN)C1=CC=C(C=C1)C(F)(F)F
Atenolol,Bipolar Disorder,1,4.05,CACNA1C|INS,CC(C)NCC(COC1=CC=C(C=C1)CC(=O)N)O
Reboxetine,Bipolar Disorder,1,3.92,NTRK2,CCOC1=CC=CC=C1OC(C2CNCCO2)C3=CC=CC=C3
Oxcarbazepine,Bipolar Disorder,1,3.7,AKR1C4,C1C2=CC=CC=C2N(C3=CC=CC=C3C1=O)C(=O)N
Zonisamide,Bipolar Disorder,1,3.63,DRD1,C1=CC=C2C(=C1)C(=NO2)CS(=O)(=O)N
Allopurinol,Bipolar Disorder,1,3.51,GRIN2A|SLC5A3,C1=NNC2=C1C(=O)NC=N2
Modafinil,Bipolar Disorder,1,3.49,COMT,C1=CC=C(C=C1)C(C2=CC=CC=C2)S(=O)CC(=O)N
Perphenazine,Bipolar Disorder,1,3.41,DRD1,C1CN(CCN1CCCN2C3=CC=CC=C3SC4=C2C=C(C=C4)Cl)CCO
Folic Acid,Bipolar Disorder,1,3.28,ADCY2|ADD3|ANK3|BDNF|BHLHE40|CACNA1D|CD47|CPLX2|FADS2|GAD1|GAD2|GRIN2A|GSK3A|GSK3B|HDAC5|INS|MRPS33|MTHFR|NDUFV2|NR3C1|NTNG1|NTRK1|NTRK2|PDE4B|POU3F2|RIMS1|S100B|SERPINA1|SLC5A3|SLC6A4|SSBP2|STARD9|STK4|TAC1|TACR1|TENM4|THSD7A|TRANK1,C1=CC(=CC=C1C(=O)NC(CCC(=O)O)C(=O)O)NCC2=CN=C3C(=N2)C(=O)NC(=N3)N
Benztropine,Bipolar Disorder,1,3.21,PC,CN1C2CCC1CC(C2)OC(C3=CC=CC=C3)C4=CC=CC=C4
Trifluoperazine,Bipolar Disorder,1,2.96,NR3C1,CN1CCN(CC1)CCCN2C3=CC=CC=C3SC4=C2C=C(C=C4)C(F)(F)F
Mianserin,Bipolar Disorder,1,2.39,COMT|HTR2A|TAC1,CN1CCN2C(C1)C3=CC=CC=C3CC4=CC=CC=C42
