preferredName_A,preferredName_B,score
GRN,PRKN,0.428
GRN,SQSTM1,0.436
GRN,TBK1,0.442
GRN,CST3,0.442
GRN,ENO1,0.466
GRN,NCSTN,0.478
GRN,OPTN,0.479
GRN,TNF,0.486
GRN,CASP3,0.525
GRN,SOD1,0.548
GRN,TREM2,0.553
GRN,CLU,0.563
GRN,LRRK2,0.569
GRN,APOE,0.575
GRN,MMP9,0.585
GRN,APP,0.601
GRN,PSEN2,0.615
GRN,UBQLN2,0.615
GRN,PSEN1,0.649
GRN,SNCA,0.675
GRN,FUS,0.7
GRN,VCP,0.762
GRN,MAPT,0.885
GRN,C9orf72,0.887
HMOX1,BACE1,0.4
HMOX1,SLC2A4,0.405
HMOX1,ESR1,0.409
HMOX1,LEP,0.424
HMOX1,MAOB,0.426
HMOX1,PSEN1,0.434
HMOX1,PINK1,0.459
HMOX1,ACHE,0.465
HMOX1,IGF1,0.482
HMOX1,SNCA,0.482
HMOX1,TFAM,0.51
HMOX1,APP,0.512
HMOX1,APOE,0.572
HMOX1,BECN1,0.58
HMOX1,GSK3B,0.618
HMOX1,BDNF,0.627
HMOX1,INS,0.64
HMOX1,MPO,0.64
HMOX1,MMP9,0.656
HMOX1,SQSTM1,0.684
HMOX1,BAX,0.729
HMOX1,SOD1,0.741
HMOX1,SOD2,0.743
HMOX1,NOS3,0.77
HMOX1,PPARG,0.784
HMOX1,TNF,0.792
HMOX1,CASP3,0.806
HMOX1,IL6,0.81
HMOX1,BCL2,0.856
SETX,TBK1,0.449
SETX,SQSTM1,0.478
SETX,NEK1,0.619
SETX,VCP,0.634
SETX,UBQLN2,0.685
SETX,C9orf72,0.744
SETX,OPTN,0.75
SETX,SOD1,0.777
SETX,FUS,0.887
MPO,SOD2,0.407
MPO,LEP,0.431
MPO,CST3,0.434
MPO,BDNF,0.473
MPO,PPARG,0.486
MPO,ESR1,0.5
MPO,F2,0.522
MPO,NOS3,0.536
MPO,BCHE,0.545
MPO,BCL2,0.583
MPO,APOE,0.63
MPO,INS,0.652
MPO,CR1,0.659
MPO,CASP3,0.68
MPO,TNF,0.832
MPO,IL6,0.872
MPO,MMP9,0.969
TPI1,CALM1,0.407
TPI1,SOD2,0.647
TPI1,SOD1,0.672
TPI1,ATP5F1A,0.681
TPI1,ENO1,0.998
APOE,CYP2D6,0.409
APOE,DHCR24,0.413
APOE,GRIN2B,0.418
APOE,FUS,0.438
APOE,SLC2A4,0.44
APOE,SOD2,0.448
APOE,VSNL1,0.449
APOE,SLC6A4,0.452
APOE,DISC1,0.462
APOE,F2,0.463
APOE,MAOB,0.468
APOE,PINK1,0.472
APOE,IGF2,0.477
APOE,ESR1,0.479
APOE,LRRK2,0.486
APOE,BCL2,0.491
APOE,SOD1,0.536
APOE,C9orf72,0.541
APOE,PLAU,0.558
APOE,OPTN,0.562
APOE,IGF1,0.579
APOE,SQSTM1,0.598
APOE,CASP3,0.614
APOE,PRKN,0.617
APOE,VCP,0.622
APOE,TF,0.627
APOE,CDK5,0.631
APOE,COMT,0.634
APOE,NCSTN,0.641
APOE,IDE,0.667
APOE,GSK3B,0.703
APOE,RELN,0.709
APOE,LEP,0.715
APOE,ADAM10,0.733
APOE,PPARG,0.74
APOE,ACHE,0.769
APOE,MMP9,0.769
APOE,PICALM,0.773
APOE,NOS3,0.777
APOE,BACE1,0.785
APOE,TNF,0.806
APOE,BDNF,0.831
APOE,IL6,0.835
APOE,BCHE,0.835
APOE,CST3,0.85
APOE,BIN1,0.908
APOE,INS,0.92
APOE,PSEN1,0.956
APOE,PSEN2,0.961
APOE,A2M,0.975
APOE,MAPT,0.991
APOE,SNCA,0.996
APOE,TREM2,0.997
APOE,CLU,0.999
APOE,APOC1,0.999
APOE,APP,0.999
FUS,CYP2D6,0.408
FUS,TREM2,0.418
FUS,BDNF,0.446
FUS,PICALM,0.454
FUS,UCHL1,0.463
FUS,PINK1,0.468
FUS,LRRK2,0.478
FUS,PSEN2,0.507
FUS,TNF,0.51
FUS,PRKN,0.524
FUS,PSEN1,0.555
FUS,NEK1,0.58
FUS,APP,0.603
FUS,TBK1,0.618
FUS,SNCA,0.698
FUS,SQSTM1,0.795
FUS,VCP,0.832
FUS,MAPT,0.918
FUS,C9orf72,0.929
FUS,OPTN,0.948
FUS,UBQLN2,0.952
FUS,SOD1,0.992
EIF2S1,TNF,0.4
EIF2S1,LRRK2,0.405
EIF2S1,INS,0.435
EIF2S1,MAPT,0.446
EIF2S1,SQSTM1,0.45
EIF2S1,UBQLN2,0.48
EIF2S1,VCP,0.5
EIF2S1,BECN1,0.568
EIF2S1,BCL2,0.592
EIF2S1,CASP3,0.647
ADAM10,NRG1,0.404
ADAM10,CDK5,0.406
ADAM10,ADAMTS1,0.411
ADAM10,CASP3,0.418
ADAM10,GSK3B,0.438
ADAM10,IL6,0.478
ADAM10,MAPT,0.486
ADAM10,A2M,0.497
ADAM10,TREM2,0.527
ADAM10,TNF,0.556
ADAM10,MMP9,0.604
ADAM10,IGF1R,0.617
ADAM10,IDE,0.636
ADAM10,PICALM,0.637
ADAM10,BAX,0.736
ADAM10,PSEN2,0.79
ADAM10,BCL2,0.802
ADAM10,NCSTN,0.865
ADAM10,PSEN1,0.905
ADAM10,BACE1,0.922
ADAM10,APP,0.95
SLC6A4,TNF,0.4
SLC6A4,ESR1,0.404
SLC6A4,RELN,0.409
SLC6A4,DTNBP1,0.434
SLC6A4,A2M,0.437
SLC6A4,IL6,0.445
SLC6A4,CACNA1C,0.461
SLC6A4,DISC1,0.476
SLC6A4,NPY,0.52
SLC6A4,CHRNB2,0.536
SLC6A4,GRIN2B,0.542
SLC6A4,DAOA,0.598
SLC6A4,INS,0.606
SLC6A4,CYP2D6,0.623
SLC6A4,SNCA,0.692
SLC6A4,CRH,0.763
SLC6A4,MAOB,0.868
SLC6A4,DRD2,0.91
SLC6A4,BDNF,0.922
SLC6A4,TPH2,0.925
SLC6A4,COMT,0.943
SLC6A4,HTR2A,0.961
BCHE,CST3,0.412
BCHE,CASP3,0.413
BCHE,IGF2,0.442
BCHE,GSK3B,0.443
BCHE,TNF,0.45
BCHE,IDE,0.46
BCHE,COMT,0.497
BCHE,INS,0.514
BCHE,PSEN2,0.519
BCHE,CLU,0.523
BCHE,BDNF,0.559
BCHE,IGF1,0.577
BCHE,SNCA,0.594
BCHE,PSEN1,0.612
BCHE,CYP2D6,0.625
BCHE,IL6,0.657
BCHE,F2,0.706
BCHE,MAPT,0.712
BCHE,APP,0.727
BCHE,BACE1,0.741
BCHE,MAOB,0.809
IDE,CLU,0.419
IDE,PICALM,0.422
IDE,MMP9,0.428
IDE,TREM2,0.436
IDE,BDNF,0.448
IDE,PPARG,0.452
IDE,SNCA,0.459
IDE,ACHE,0.473
IDE,GSK3B,0.498
IDE,CDK5,0.508
IDE,MAPT,0.517
IDE,BIN1,0.519
IDE,NCSTN,0.577
IDE,IGF1,0.583
IDE,PSEN2,0.692
IDE,PSEN1,0.78
IDE,BACE1,0.793
IDE,IGF2,0.95
IDE,APP,0.995
IDE,INS,0.999
CACNA1C,DAOA,0.416
CACNA1C,COMT,0.417
CACNA1C,GRIN2B,0.443
CACNA1C,BDNF,0.448
CACNA1C,TNF,0.451
CACNA1C,DRD2,0.508
CACNA1C,BIN1,0.531
CACNA1C,DISC1,0.688
CACNA1C,ANK3,0.76
CACNA1C,HTR2A,0.937
CACNA1C,INS,0.956
CACNA1C,CALM1,0.981
SOD1,ESR1,0.401
SOD1,MAOB,0.415
SOD1,TREM2,0.418
SOD1,MMP9,0.43
SOD1,NOS3,0.436
SOD1,AMFR,0.445
SOD1,TFAM,0.448
SOD1,PSEN2,0.477
SOD1,GSK3B,0.477
SOD1,LRRK2,0.5
SOD1,IGF1,0.503
SOD1,PPARG,0.511
SOD1,INS,0.511
SOD1,UCHL1,0.516
SOD1,ATP5F1A,0.53
SOD1,PSEN1,0.572
SOD1,TNF,0.574
SOD1,CST3,0.579
SOD1,NEK1,0.581
SOD1,IL6,0.584
SOD1,BDNF,0.587
SOD1,TBK1,0.594
SOD1,PRKN,0.62
SOD1,CASP3,0.624
SOD1,CALM1,0.629
SOD1,MAPT,0.642
SOD1,PINK1,0.651
SOD1,BECN1,0.655
SOD1,CDK5,0.658
SOD1,BACE1,0.706
SOD1,VCP,0.772
SOD1,ENO1,0.783
SOD1,APP,0.802
SOD1,UBQLN2,0.851
SOD1,C9orf72,0.897
SOD1,SNCA,0.897
SOD1,SQSTM1,0.91
SOD1,OPTN,0.937
SOD1,SOD2,0.994
SOD1,BCL2,0.998
CRH,COMT,0.437
CRH,TPH2,0.44
CRH,GRIN2B,0.442
CRH,MAOB,0.484
CRH,RELN,0.489
CRH,ESR1,0.503
CRH,IGF1,0.506
CRH,DRD2,0.52
CRH,APP,0.524
CRH,HTR2A,0.527
CRH,TNF,0.558
CRH,IL6,0.61
CRH,PYY,0.664
CRH,INS,0.666
CRH,BDNF,0.818
CRH,LEP,0.865
CRH,NPY,0.951
ANK3,TNF,0.418
ANK3,BCL2,0.498
ANK3,CALM1,0.5
ANK3,LRRK2,0.512
ANK3,GRIN2B,0.534
ANK3,DISC1,0.647
UCHL1,IL6,0.4
UCHL1,BACE1,0.416
UCHL1,TNF,0.446
UCHL1,UBQLN2,0.448
UCHL1,CDK5,0.454
UCHL1,BDNF,0.478
UCHL1,ENO1,0.557
UCHL1,NPY,0.584
UCHL1,PSEN1,0.597
UCHL1,MAPT,0.721
UCHL1,APP,0.746
UCHL1,PINK1,0.788
UCHL1,LRRK2,0.844
UCHL1,SNCA,0.957
UCHL1,PRKN,0.96
APP,IGF1R,0.406
APP,LEP,0.416
APP,ESR1,0.435
APP,HTR2A,0.448
APP,VSNL1,0.49
APP,NRG1,0.493
APP,BECN1,0.511
APP,SQSTM1,0.522
APP,OPTN,0.525
APP,DHCR24,0.531
APP,PPARG,0.548
APP,IGF1,0.548
APP,ARC,0.579
APP,MAOB,0.589
APP,BCL2,0.594
APP,COL18A1,0.599
APP,UBQLN2,0.606
APP,PINK1,0.633
APP,MMP9,0.644
APP,VCP,0.652
APP,NOS3,0.677
APP,IL6,0.68
APP,LRRK2,0.684
APP,PLAU,0.696
APP,ENO1,0.698
APP,CHRNA7,0.716
APP,C9orf72,0.749
APP,GRIN1,0.776
APP,TNF,0.799
APP,INS,0.799
APP,APOC1,0.802
APP,RELN,0.819
APP,PICALM,0.82
APP,BIN1,0.834
APP,PRKN,0.856
APP,BDNF,0.858
APP,CDK5,0.868
APP,GRIN2B,0.872
APP,DISC1,0.873
APP,GSK3B,0.897
APP,TREM2,0.901
APP,A2M,0.905
APP,CASP3,0.908
APP,CST3,0.927
APP,ACHE,0.937
APP,PSEN2,0.969
APP,SNCA,0.993
APP,MAPT,0.995
APP,CLU,0.998
APP,NCSTN,0.998
APP,BACE1,0.999
APP,PSEN1,0.999
ADAMTS1,A2M,0.428
ADAMTS1,IQCK,0.447
ADAMTS1,IL6,0.462
ADAMTS1,MMP9,0.498
ADAMTS1,COL18A1,0.67
PPARG,ACHE,0.4
PPARG,PINK1,0.401
PPARG,BECN1,0.451
PPARG,A2M,0.472
PPARG,NPY,0.479
PPARG,BACE1,0.493
PPARG,PLAU,0.504
PPARG,IGF2,0.538
PPARG,SOD2,0.541
PPARG,INSR,0.555
PPARG,BDNF,0.561
PPARG,NOS3,0.627
PPARG,GSK3B,0.634
PPARG,IGF1R,0.648
PPARG,BCL2,0.649
PPARG,TFAM,0.684
PPARG,CASP3,0.694
PPARG,MMP9,0.765
PPARG,ESR1,0.794
PPARG,TNF,0.807
PPARG,IL6,0.82
PPARG,IGF1,0.828
PPARG,CDK5,0.909
PPARG,SLC2A4,0.934
PPARG,INS,0.944
PPARG,LEP,0.948
NRG1,NOS3,0.445
NRG1,INS,0.451
NRG1,ESR1,0.452
NRG1,IGF1R,0.504
NRG1,DAOA,0.513
NRG1,IGF2,0.524
NRG1,GRIN1,0.541
NRG1,COMT,0.55
NRG1,IGF1,0.571
NRG1,BACE1,0.617
NRG1,GRIN2B,0.636
NRG1,DTNBP1,0.643
NRG1,DISC1,0.723
NRG1,BDNF,0.737
AMFR,PINK1,0.412
AMFR,TBK1,0.664
AMFR,VCP,0.999
BAX,MMP9,0.448
BAX,BDNF,0.464
BAX,TNF,0.503
BAX,SNCA,0.513
BAX,IL6,0.515
BAX,GSK3B,0.576
BAX,BECN1,0.726
BAX,CASP3,0.884
BAX,CLU,0.886
BAX,PRKN,0.94
BAX,BCL2,0.999
NCSTN,PICALM,0.43
NCSTN,CDK5,0.604
NCSTN,MAPT,0.646
NCSTN,TNF,0.78
NCSTN,BACE1,0.878
NCSTN,PSEN1,0.999
NCSTN,PSEN2,0.999
NOS3,BDNF,0.436
NOS3,GSK3B,0.491
NOS3,SOD2,0.518
NOS3,SLC2A4,0.519
NOS3,IGF1,0.526
NOS3,LEP,0.545
NOS3,BCL2,0.579
NOS3,CASP3,0.604
